Rank,movie_title,Adjusted_Lifetime_Gross,Lifetime_Gross,Tickets_Sold,original_release_date,movie_title.1,content_rating,genres,original_release_date.1,tomatometer_status,tomatometer_rating,audience_status,audience_rating
12,ONE HUNDRED AND ONE DALMATIANS,936225101,144880014,99917300,1961,SATURDAY NIGHT AND SUNDAY MORNING,NR,"Art House & International, Classics, Drama",1961,Fresh,93,Upright,87
22,INDIANA JONES AND THE RAIDERS OF THE LOST ARK,829651658,248159971,88543400,1981,INDIANA JONES AND THE LAST CRUSADE,PG-13,Action & Adventure,1989,Certified-Fresh,88,Upright,94
24,FANTASIA,778117595,76408097,83043500,1941,ROAD TO ZANZIBAR,NR,"Action & Adventure, Classics, Comedy, Drama, Musical & Performing Arts",1941,Fresh,89,Upright,62
29,THE AVENGERS,720376844,623357910,76881200,2012,THE ORANGES,R,"Comedy, Drama, Romance",2012,Rotten,31,Spilled,32
37,GHOSTBUSTERS,667872049,243578797,71277700,1984,GHOSTBUSTERS (1984 ORIGINAL),PG,"Action & Adventure, Comedy, Science Fiction & Fantasy",1984,Certified-Fresh,97,Upright,88
44,STAR WARS: EPISODE VIII - THE LAST JEDI,633360465,620181382,67594500,2017,STAR WARS: THE LAST JEDI,PG-13,"Action & Adventure, Drama, Science Fiction & Fantasy",2017,Certified-Fresh,90,Spilled,43
57,BATMAN,590050451,251409241,62972300,1989,BAD TASTE,R,"Comedy, Horror, Science Fiction & Fantasy",1989,Fresh,68,Upright,75
58,THE BELLS OF ST. MARY'S,587921587,21333333,62745100,1945,THE CURSE OF THE CAT PEOPLE,NR,"Drama, Kids & Family, Science Fiction & Fantasy",1945,Fresh,87,Upright,66
66,MY FAIR LADY,562782814,72560711,60062200,1964,FAIL-SAFE,G,"Classics, Drama, Mystery & Suspense",1964,Fresh,93,Upright,91
88,STAR WARS: EPISODE IX - THE RISE OF SKYWALKER,515202891,515202542,54984300,2019,STAR WARS: THE RISE OF SKYWALKER,PG-13,"Action & Adventure, Science Fiction & Fantasy",2019,Rotten,51,Upright,86
95,IT'S A MAD MAD MAD MAD WORLD,504812498,46332858,53875400,1963,"IT'S A MAD, MAD, MAD, MAD WORLD",G,"Action & Adventure, Classics, Comedy, Drama",1963,Fresh,70,Upright,83
107,DUEL IN THE SUN,478061148,20408163,51020400,1946,LOVE ON THE RUN,NR,"Classics, Comedy, Romance",1936,Fresh,80,Upright,61
113,THE LOST WORLD: JURASSIC PARK,467656700,229086679,49910000,1997,THE LOST WORLD - JURASSIC PARK,PG-13,"Action & Adventure, Horror, Science Fiction & Fantasy",1997,Rotten,53,Spilled,51
120,HARRY POTTER AND THE DEATHLY HALLOWS: PART 2,451701464,381447587,48207200,2011,HARRY POTTER AND THE DEATHLY HALLOWS - PART 2,PG-13,"Action & Adventure, Drama, Kids & Family, Mystery & Suspense, Science Fiction & Fantasy",2011,Certified-Fresh,96,Upright,89
122,HOW THE GRINCH STOLE CHRISTMAS,451054934,260715005,48138200,2000,DR. SEUSS' HOW THE GRINCH STOLE CHRISTMAS,PG,"Comedy, Drama, Kids & Family, Science Fiction & Fantasy",2000,Rotten,49,Spilled,56
137,THE FOUR HORSEMEN OF THE APOCALYPSE,430255408,9183673,45918400,1921,ORPHANS OF THE STORM,NR,Drama,1921,Fresh,92,Upright,71
146,PIRATES OF THE CARIBBEAN: AT WORLD'S END,421405443,309420425,44973900,2007,PIRATES OF THE CARIBBEAN: AT WORLDS END,PG-13,"Action & Adventure, Science Fiction & Fantasy",2007,Rotten,44,Upright,72
162,AMERICAN SNIPER,403659600,350159020,43080000,2014,AMERICAN SNIPER,R,"Action & Adventure, Drama",2015,Certified-Fresh,72,Upright,84
179,THREE MEN AND A BABY,390764606,167780960,41703800,1987,THREE MEN AND A BABY (3 MEN AND A BABY),PG,Comedy,1987,Fresh,75,Spilled,47
193,MISSION: IMPOSSIBLE II,374469239,215409889,39964700,2000,MISSION: IMPOSSIBLE 2,PG-13,"Action & Adventure, Mystery & Suspense",2000,Rotten,57,Spilled,42
200,LIAR LIAR,370330510,181410615,39523000,1997,CRITICAL CARE,PG-13,Comedy,1997,Rotten,59,Spilled,30
219,PORKY'S,353457014,111289673,37722200,1982,POLTERGEIST,PG,Horror,1982,Certified-Fresh,86,Upright,79
226,HARRY POTTER AND THE DEATHLY HALLOWS: PART 1,348589299,296374621,37202700,2010,HARRY POTTER AND THE DEATHLY HALLOWS - PART 1,PG-13,"Action & Adventure, Drama, Kids & Family, Mystery & Suspense, Science Fiction & Fantasy",2010,Certified-Fresh,77,Upright,85
228,AQUAMAN,348133917,335104314,37154100,2018,A CIAMBRA,NR,Drama,2018,Certified-Fresh,89,Upright,76
236,THE TWILIGHT SAGA: BREAKING DAWN - PART 2,340398045,292324737,36328500,2012,THE TWILIGHT SAGA: BREAKING DAWN PART 2,PG-13,"Action & Adventure, Drama, Science Fiction & Fantasy, Romance",2012,Rotten,49,Upright,70
238,THE TWILIGHT SAGA: BREAKING DAWN - PART 1,336503873,281287133,35912900,2011,THE TWILIGHT SAGA: BREAKING DAWN PART 1,PG-13,"Mystery & Suspense, Science Fiction & Fantasy, Romance",2011,Rotten,25,Upright,60
248,TRUE LIES,327910646,146282411,34995800,1994,THE CLIENT,PG-13,"Action & Adventure, Drama, Mystery & Suspense",1994,Fresh,78,Upright,69
255,THE SANTA CLAUSE,324038025,145539357,34582500,1994,THE SWAN PRINCESS,G,"Animation, Comedy, Kids & Family",1994,Rotten,50,Upright,66
265,JERRY MAGUIRE,317915667,153952592,33929100,1996,EMMA,PG,"Comedy, Romance",1996,Certified-Fresh,85,Upright,77
273,HOOPER,312333021,78000000,33333300,1978,HOOSIERS,PG,"Drama, Sports & Fitness",1986,Certified-Fresh,89,Upright,88
278,WHAT WOMEN WANT,310050489,182811707,33089700,2000,WHAT WOMEN WANT,PG-13,Comedy,2001,Rotten,54,Spilled,54
296,TEENAGE MUTANT NINJA TURTLES,299631986,135384756,31977800,1990,TEENAGE MUTANT NINJA TURTLES: THE MOVIE,PG,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",1990,Rotten,40,Upright,81
309,WALL·E,292071333,223808164,31170900,2008,WALL-E,G,"Action & Adventure, Animation, Science Fiction & Fantasy",2008,Certified-Fresh,95,Upright,90
317,DOCTOR DOLITTLE,288005690,144156605,30737000,1998,DR. DOLITTLE,PG-13,"Comedy, Kids & Family",1998,Rotten,42,Spilled,35
320,SLEEPLESS IN SEATTLE,286846621,126808165,30613300,1993,WEEKEND AT BERNIE'S II,PG,Comedy,1993,Rotten,10,Spilled,41
331,PAPILLON,281984528,53267000,30094400,1973,PAPER MOON,PG,"Classics, Comedy, Drama, Romance",1973,Fresh,92,Upright,94
343,ICE AGE: THE MELTDOWN,279427455,195330621,29821500,2006,ICE AGE 2: THE MELTDOWN,PG,"Action & Adventure, Animation, Comedy, Documentary, Kids & Family",2006,Rotten,56,Upright,71
360,THE NUTTY PROFESSOR,273073658,128814019,29143400,1996,THE NUTTY PROFESSOR,NR,"Classics, Comedy",1963,Fresh,85,Upright,67
366,STAR TREK IV: THE VOYAGE HOME,270511900,109713132,28870000,1986,STAR TREK IV - THE VOYAGE HOME,PG,"Action & Adventure, Comedy, Science Fiction & Fantasy",1986,Certified-Fresh,81,Upright,81
376,GHOSTBUSTERS II,265510194,112494738,28336200,1989,GHOSTBUSTERS 2,PG,"Comedy, Science Fiction & Fantasy",1989,Rotten,54,Upright,61
401,THE LORAX,252317234,214373500,26928200,2012,THE ROAD,R,"Drama, Horror",2012,Fresh,65,Spilled,59
414,MISSION: IMPOSSIBLE - GHOST PROTOCOL,249127686,209397903,26587800,2011,MISSION: IMPOSSIBLE GHOST PROTOCOL,PG-13,"Action & Adventure, Mystery & Suspense",2011,Certified-Fresh,94,Upright,76
420,ICE AGE: DAWN OF THE DINOSAURS,246866705,196573705,26346500,2009,ICE AGE: DAWN OF THE DINOSAURS (ICE AGE 3),PG,"Action & Adventure, Animation, Comedy, Kids & Family",2009,Rotten,46,Upright,62
428,THE CANNONBALL RUN,243281743,72179579,25963900,1981,THE FAN,R,"Drama, Mystery & Suspense",1981,Rotten,38,Spilled,32
439,48 HRS.,238897520,78868508,25496000,1982,48 HRS,R,"Action & Adventure, Comedy",1982,Certified-Fresh,93,Upright,69
440,THE GODFATHER PART II,238514287,47834595,25455100,1974,"THE GODFATHER, PART II",R,"Drama, Mystery & Suspense",1974,Certified-Fresh,98,Upright,97
444,WARGAMES,236682452,79567667,25259600,1983,WARGAMES (WAR GAMES),PG,"Action & Adventure, Drama, Mystery & Suspense",1983,Certified-Fresh,93,Upright,76
446,DRIVING MISS DAISY,236256117,106593296,25214100,1989,DISORGANIZED CRIME,R,"Comedy, Drama",1989,Rotten,50,Spilled,57
449,INTERVIEW WITH THE VAMPIRE: THE VAMPIRE CHRONICLES,235445612,105264608,25127600,1994,INTERVIEW WITH THE VAMPIRE,R,"Horror, Science Fiction & Fantasy, Romance",1994,Fresh,63,Upright,86
455,TERMINATOR 3: RISE OF THE MACHINES,233661564,150371112,24937200,2003,TERMINATOR 3 - RISE OF THE MACHINES,R,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",2003,Fresh,69,Spilled,46
458,ACE VENTURA: WHEN NATURE CALLS,233298945,108385533,24898500,1995,ACE VENTURA - WHEN NATURE CALLS,PG-13,Comedy,1995,Rotten,30,Upright,72
487,X-MEN ORIGINS: WOLVERINE,225938810,179883157,24113000,2009,X-MEN ORIGINS - WOLVERINE,PG-13,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",2009,Rotten,37,Spilled,58
498,NIGHT AT THE MUSEUM: BATTLE OF THE SMITHSONIAN,222619019,177243721,23758700,2009,NIGHT AT THE MUSEUM 2: BATTLE OF THE SMITHSONIAN,PG,"Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy",2009,Rotten,45,Spilled,47
